Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0248489579671259,-1.69844779697725E-05,0.0595015198553598,0,0,0,1.07304100169638,0.00185580886331691,3.12605392585196E-07,-5.60262178799118E-05,0.00450498080335361,8.92348407742513E-07,0.00573561869820229,0,0,0,0,0,0,package://elon_musk_car/meshes/base_link.STL,0.831372549019608,0.670588235294118,0.129411764705882,1,0,0,0,0,0,0,package://elon_musk_car/meshes/base_link.STL,,Thân trên xe-1;Giá đỡ tay máy-1;Giá đỡ Camera-1;Thân dưới-1;Thân dưới-2;Motor-4;Motor-3;Motor-1;Motor-2,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
traiduoi,1.12801188736911E-08,-0.00907479627188329,-1.48281719958288E-08,0,0,0,0.0521078133004598,3.28190540725205E-05,-9.48347094999047E-13,-9.02704512031813E-10,5.52101334726658E-05,1.24402576673555E-12,3.28192928378622E-05,0,0,0,0,0,0,package://elon_musk_car/meshes/traiduoi.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://elon_musk_car/meshes/traiduoi.STL,,Bánh xe-4,traiduoi,Axis2,traiduoi_jt,continuous,-0.0842500000002616,0.089625,0.0113156378829189,0,0,0,base_link,0,1,0,,,,,,,,,,,,
phaiduoi,1.25285689461796E-09,0.00907479627188298,1.85888698739367E-08,0,0,0,0.0521078133004657,3.28182966727171E-05,1.06769615106998E-13,2.45723743418195E-10,5.5210133472672E-05,1.56062810555671E-12,3.28200502376713E-05,0,0,0,0,0,0,package://elon_musk_car/meshes/phaiduoi.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://elon_musk_car/meshes/phaiduoi.STL,,Bánh xe-3,phaiduoi,Axis2,phaiduoi_jt,continuous,-0.084250000000344,-0.089625,0.0113156378831937,0,0,0,base_link,0,1,0,,,,,,,,,,,,
traitren,1.55709193594422E-08,-0.00907479627188237,-1.02304585497537E-08,0,0,0,0.0521078133004729,3.28196469526073E-05,-1.30821560234278E-12,-7.77771096015315E-10,5.521013347268E-05,8.57635029502247E-13,3.28186999577899E-05,0,0,0,0,0,0,package://elon_musk_car/meshes/traitren.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://elon_musk_car/meshes/traitren.STL,,Bánh xe-2,traitren,Axis1,traitren_jt,continuous,0.0842499999998293,0.089625,0.0113156378828449,0,0,0,base_link,0,0.999999731823558,0.00073236112126337,,,,,,,,,,,,
phaitren,1.79235902231234E-08,0.00907479627188346,5.08636011087304E-09,0,0,0,0.0521078133004571,3.28200069638325E-05,1.50529068461448E-12,3.66593789169686E-10,5.52101334726631E-05,4.25515881150075E-13,3.28183399465464E-05,0,0,0,0,0,0,package://elon_musk_car/meshes/phaitren.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://elon_musk_car/meshes/phaitren.STL,,Bánh xe-1,phaitren,Axis1,phaitren_jt,continuous,0.08425,-0.089625,0.011184,0,0,0,base_link,0,1,0.00073236,,,,,,,,,,,,
truc1,0.0533181945720658,-0.00959003139334669,0.0453560373883681,0,0,0,0.108511590245375,0.000127329624285286,-9.49294539450881E-12,-0.000133704438877886,0.000291291060775154,-4.06646426432114E-12,0.000170767608899266,0,0,0,0,0,0,package://elon_musk_car/meshes/truc1.STL,0.831372549019608,0.670588235294118,0.129411764705882,1,0,0,0,0,0,0,package://elon_musk_car/meshes/truc1.STL,,Trục tay 1-1,truc1,Axis3,truc1_jt,revolute,-0.067056,-0.01,0.16393,0,0,0,base_link,0,1,0,5,1,-0.5,0.5,,,,,,,,
truc2,0.0573218605022251,0.00973273237026839,-0.0234797350529898,0,0,0,0.100138675077548,4.14451577467379E-05,7.90091994280198E-08,7.14211200024037E-05,0.000221871143736014,-3.23784009562632E-08,0.000186552928423222,0,0,0,0,0,0,package://elon_musk_car/meshes/truc2.STL,0.831372549019608,0.670588235294118,0.129411764705882,1,0,0,0,0,0,0,package://elon_musk_car/meshes/truc2.STL,,Trục tay 2-1,truc2,Axis4,truc2_jt,revolute,0.106636389144134,0,0.0907120747767362,0,0,0,truc1,0,1,0,5,1,-0.5,0.5,,,,,,,,
imu,-6.68985725750804E-05,0.000170855890153421,-0.00067929222391197,0,0,0,0.0004529996914439,1.17080889572944E-08,-5.09802080398037E-15,-3.97332758659873E-16,5.34815547364709E-09,-7.20405912899209E-16,1.6875100792001E-08,0,0,0,0,0,0,package://elon_musk_car/meshes/imu.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://elon_musk_car/meshes/imu.STL,,IMU-1,imu,,imu_jt,fixed,-0.12975,0.00015956,0.070527,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar,-0.00748346988333637,-9.19261110875202E-05,-0.0297280760651208,0,0,0,1.33076913637071,0.00061491794045409,-8.01984318975285E-07,0.00015824302591117,0.000960697335617222,-3.0916298658758E-06,0.00109815200027136,0,0,0,0,0,0,package://elon_musk_car/meshes/lidar.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://elon_musk_car/meshes/lidar.STL,,rplidar_main-1,lidar,,lidar_jt,fixed,0.05075,0,0.11892,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera,-0.0104719793283222,-1.35431902550109E-05,-0.000101038487187566,0,0,0,0.00511234868100241,6.22026605833524E-07,-1.40839446300285E-09,-1.19148777131332E-08,4.54335524710268E-07,1.42394873810616E-09,6.01477590970195E-07,0,0,0,0,0,0,package://elon_musk_car/meshes/camera.STL,0.901960784313726,0.709803921568627,0.43921568627451,1,0,0,0,0,0,0,package://elon_musk_car/meshes/camera.STL,,Camera-1,camera,Axis_camera_jt,camera_jt,fixed,0.153828045195748,0,0.0450277243285144,0,0,0,base_link,0,0,0,,,,,,,,,,,,
